date,parking,places_occupees
2021-07-06 18:47:52+02:00,Comédie,545
2021-07-06 18:48:10+02:00,Mosson,38
2021-04-12 05:00:10+02:00,Multiplexe,3
2021-07-06 18:44:50+02:00,Saint-Jean-le-Sec,136
2021-07-06 18:46:58+02:00,Sabines,300
2021-07-06 18:48:54+02:00,Garcia Lorca,116
2021-07-06 18:47:51+02:00,Antigone,22
2021-07-06 18:48:09+02:00,Pitot,220
2021-07-06 18:47:52+02:00,Europa,325
2021-07-06 18:44:57+02:00,Arc de Triomphe,309
2021-07-06 18:47:55+02:00,Corum,235
2021-07-06 18:53:09+02:00,Triangle,287
2021-07-06 18:44:52+02:00,Occitanie,229
2021-07-06 18:47:59+02:00,Viccarello,21
2020-11-19 10:49:59+01:00,Charles de Gaulle,72
2021-07-06 18:44:55+02:00,Foch Préfecture,323
2021-04-12 05:00:10+02:00,Circé Odysseum,155
2021-07-06 18:47:56+02:00,Gambetta,287
2021-07-06 18:48:04+02:00,Saint Roch,416
2021-07-06 18:44:53+02:00,Notre Dame de Sablassou,184
2021-07-06 18:45:55+02:00,Euromédecine,75
2021-04-12 05:00:10+02:00,GAUMONT-OUEST,17
2021-07-06 18:54:52+02:00,Arc de Triomphe,292
2021-07-06 18:56:53+02:00,Comédie,539
2021-07-06 18:56:54+02:00,Corum,239
2021-07-06 18:53:16+02:00,Mosson,35
2021-07-06 18:54:54+02:00,Notre Dame de Sablassou,178
2021-07-06 18:56:59+02:00,Sabines,291
2021-07-06 18:54:58+02:00,Saint-Jean-le-Sec,136
2021-07-06 18:54:51+02:00,Foch Préfecture,314
2021-07-06 18:58:03+02:00,Saint Roch,389
2021-07-06 18:56:53+02:00,Europa,320
2021-07-06 19:03:09+02:00,Triangle,274
2021-07-06 18:53:56+02:00,Garcia Lorca,113
2021-07-06 18:55:57+02:00,Euromédecine,72
2020-06-30 11:00:19+02:00,Viccarello,56
2021-07-06 18:56:53+02:00,Antigone,22
2021-07-06 18:56:54+02:00,Gambetta,277
2021-07-06 18:57:09+02:00,Pitot,223
2021-07-06 18:54:53+02:00,Occitanie,224
2021-07-06 19:26:55+02:00,Comédie,543
2021-07-06 19:26:52+02:00,Corum,243
2021-07-06 19:33:09+02:00,Triangle,252
2021-07-06 19:29:52+02:00,Occitanie,205
2021-07-06 19:28:14+02:00,Mosson,30
2021-07-06 19:26:52+02:00,Sabines,281
2021-07-06 19:24:52+02:00,Arc de Triomphe,278
2021-07-06 19:28:52+02:00,Garcia Lorca,107
2021-07-06 19:24:55+02:00,Saint-Jean-le-Sec,133
2021-07-06 19:27:50+02:00,Viccarello,17
2021-07-06 19:26:54+02:00,Europa,300
2021-07-06 19:28:09+02:00,Pitot,228
2021-07-06 19:26:59+02:00,Antigone,22
2021-07-06 19:24:58+02:00,Foch Préfecture,277
2021-07-06 19:26:53+02:00,Gambetta,295
2021-07-06 19:28:01+02:00,Saint Roch,383
2021-07-06 19:24:56+02:00,Notre Dame de Sablassou,166
2021-07-06 19:25:53+02:00,Euromédecine,66
2021-07-06 19:38:56+02:00,Garcia Lorca,107
2021-07-06 19:35:55+02:00,Euromédecine,66
2021-07-06 19:37:51+02:00,Viccarello,17
2021-07-06 19:39:09+02:00,Pitot,258
2021-07-06 19:47:50+02:00,Antigone,20
2021-07-06 19:47:52+02:00,Corum,261
2021-07-06 19:48:02+02:00,Saint Roch,371
2021-07-06 19:54:09+02:00,Triangle,253
2021-07-06 19:38:17+02:00,Mosson,25
2021-07-06 19:39:52+02:00,Notre Dame de Sablassou,159
2021-07-06 19:47:58+02:00,Comédie,577
2021-07-06 19:44:57+02:00,Foch Préfecture,264
2021-07-06 19:47:55+02:00,Gambetta,316
2021-07-06 19:36:54+02:00,Sabines,283
2021-07-06 19:44:52+02:00,Arc de Triomphe,268
2021-07-06 19:47:58+02:00,Europa,297
2021-07-06 19:34:58+02:00,Saint-Jean-le-Sec,132
2021-07-06 19:34:58+02:00,Occitanie,202
2021-07-06 20:04:57+02:00,Foch Préfecture,255
2021-07-06 20:08:51+02:00,Gambetta,316
2021-07-06 20:09:09+02:00,Pitot,313
2021-07-06 20:04:54+02:00,Occitanie,192
2021-07-06 20:07:53+02:00,Viccarello,16
2021-07-06 20:09:55+02:00,Arc de Triomphe,254
2021-07-06 20:08:53+02:00,Corum,282
2021-07-06 20:08:59+02:00,Garcia Lorca,107
2021-07-06 20:14:09+02:00,Triangle,241
2021-07-06 20:08:17+02:00,Mosson,22
2021-07-06 20:09:51+02:00,Saint-Jean-le-Sec,123
2021-07-06 20:08:55+02:00,Antigone,19
2021-07-06 20:08:54+02:00,Comédie,630
2021-07-06 20:05:58+02:00,Euromédecine,65
2021-07-06 20:08:56+02:00,Europa,299
2021-07-06 20:08:02+02:00,Saint Roch,385
2021-07-06 20:06:51+02:00,Sabines,263
2021-07-06 20:09:55+02:00,Notre Dame de Sablassou,152
2021-07-06 20:38:01+02:00,Saint Roch,396
2021-07-06 20:35:54+02:00,Euromédecine,64
2021-07-06 20:37:54+02:00,Viccarello,16
2021-07-06 20:38:51+02:00,Corum,299
2021-07-06 20:43:09+02:00,Triangle,249
2021-07-06 20:36:51+02:00,Sabines,247
2021-07-06 20:34:56+02:00,Saint-Jean-le-Sec,123
2021-07-06 20:34:49+02:00,Arc de Triomphe,242
2021-07-06 20:38:09+02:00,Pitot,370
2021-07-06 20:38:51+02:00,Garcia Lorca,108
2021-07-06 20:34:52+02:00,Occitanie,184
2021-07-06 20:38:59+02:00,Antigone,17
2021-07-06 20:34:52+02:00,Foch Préfecture,247
2021-07-06 20:34:50+02:00,Notre Dame de Sablassou,152
2021-07-06 20:38:51+02:00,Comédie,694
2021-07-06 20:38:59+02:00,Europa,299
2021-07-06 20:38:51+02:00,Gambetta,326
2021-07-06 20:38:12+02:00,Mosson,22
2021-07-06 21:08:59+02:00,Corum,306
2021-07-06 21:06:53+02:00,Sabines,250
2021-07-06 21:05:52+02:00,Euromédecine,63
2021-07-06 21:04:56+02:00,Arc de Triomphe,237
2021-07-06 21:08:51+02:00,Europa,297
